City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
623,kitob,UZ,83.98,clear sky,39.0843,66.8332,Shakhrisabz Yulduzi
625,yazd,IR,80.71,clear sky,31.8972,54.3675,هتل سنتی مهر
629,kailua-kona,US,78.76,few clouds,19.6406,-155.9956,Kona Seaside Hotel
632,kualakapuas,ID,89.64,overcast clouds,-3.0091,114.3876,Hotel Bayu
636,san juan nepomuceno,CO,75.02,scattered clouds,9.9516,-75.082,Hotel Imperial
637,kendari,ID,82.62,overcast clouds,-3.945,122.4989,City Hotel Kendari
640,makanya,TZ,74.28,overcast clouds,-4.3667,37.8333,Mchome
643,kolonia town,FM,80.6,heavy intensity rain,6.964,158.206,Cliff Rainbow Hotel
648,port sudan,SD,83.62,overcast clouds,19.6175,37.2164,Ranya Hotel
654,soure,BR,78.6,overcast clouds,-0.7167,-48.5233,Hotel Marajó
656,sabang,ID,84.94,overcast clouds,5.8933,95.3214,Sabang Hill
658,nova vicosa,BR,74.16,overcast clouds,-17.8919,-39.3719,Pousada Pontal da Barra
659,fomboni,KM,81.16,overcast clouds,-12.28,43.7425,Mohéli La Plage
660,hailar,CN,76.42,clear sky,49.2,119.7,呼伦贝尔融府商务酒店
662,al kharijah,EG,79.92,clear sky,25.4514,30.5464,Kharga Hotel
665,mahajanga,MG,86.02,scattered clouds,-15.7167,46.3167,Vahiny Hotel
670,tamanrasset,DZ,71.51,clear sky,22.785,5.5228,فندق الأمان
672,tofol,FM,82.02,light rain,5.3248,163.0078,Nautilus Resort
674,san juan bautista,PE,71.31,clear sky,-14.0108,-75.7358,Hacienda San Juan Resort & Spa
675,i-n-salah,DZ,82.81,clear sky,27.1935,2.4607,باجودة
680,enchanted hills,US,71.06,overcast clouds,35.3368,-106.593,Santa Ana Star Casino Hotel
681,takoradi,GH,79.77,overcast clouds,4.8845,-1.7554,Hillcrest
684,yeppoon,AU,78.58,clear sky,-23.1333,150.7333,Blossom's on Seaspray
687,bubaque,GW,77.85,clear sky,11.2833,-15.8333,Chez Julio
693,oyama,JP,70.12,clear sky,36.3,139.8,東横イン 小山駅東口1
698,kapoeta,SS,76.57,overcast clouds,4.7717,33.5903,Kuleu
701,basco,PH,79.97,clear sky,20.4487,121.9702,Tawsen Hotel
704,sittwe,MM,89.29,scattered clouds,20.15,92.9,Yuzana Aung Motel 1
707,luanda,AO,80.6,few clouds,-8.8368,13.2343,Hotel Forum
708,cuamba,MZ,72.0,clear sky,-14.8031,36.5372,Pensao Cariaco
710,danghara,TJ,84.42,overcast clouds,38.0958,69.34,Hotel and Restaurant in Danghara
715,turpan,CN,73.15,overcast clouds,42.9333,89.1667,Oriental
718,sharlyk,RU,72.48,clear sky,52.9167,54.75,Комильфо
